Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.02     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::operator-(long) const
  0.00      0.02     0.00       16     0.00     0.00  std::reference_wrapper<std::atomic<int> >::get() const
  0.00      0.02     0.00       16     0.00     0.00  std::reference_wrapper<std::atomic<int> >::operator std::atomic<int>&() const
  0.00      0.02     0.00       16     0.00     0.00  std::_Head_base<1ul, std::reference_wrapper<std::filesystem::__cxx11::path const>, false>::_M_head(std::_Head_base<1ul, std::reference_wrapper<std::filesystem::__cxx11::path const>, false>&)
  0.00      0.02     0.00       16     0.00     0.00  std::_Head_base<2ul, std::reference_wrapper<std::filesystem::__cxx11::path const>, false>::_M_head(std::_Head_base<2ul, std::reference_wrapper<std::filesystem::__cxx11::path const>, false>&)
  0.00      0.02     0.00       16     0.00     0.00  std::_Head_base<2ul, std::reference_wrapper<std::filesystem::__cxx11::path const>, false>::_Head_base<std::reference_wrapper<std::filesystem::__cxx11::path const> >(std::reference_wrapper<std::filesystem::__cxx11::path const>&&)
  0.00      0.02     0.00       16     0.00     0.00  std::filesystem::__cxx11::recursive_directory_iterator::recursive_directory_iterator(std::filesystem::__cxx11::path const&)
  0.00      0.02     0.00       16     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::~unique_ptr()
  0.00      0.02     0.00       16     0.00     0.00  std::_Tuple_impl<2ul, std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::atomic<int> > >::_M_head(std::_Tuple_impl<2ul, std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::atomic<int> > >&)
  0.00      0.02     0.00       16     0.00     0.00  std::_Tuple_impl<2ul, std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::atomic<int> > >::_Tuple_impl<std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::atomic<int> >, void>(std::reference_wrapper<std::filesystem::__cxx11::path const>&&, std::reference_wrapper<std::atomic<int> >&&)
  0.00      0.02     0.00       16     0.00     0.00  std::_Tuple_impl<3ul, std::reference_wrapper<std::atomic<int> > >::_M_head(std::_Tuple_impl<3ul, std::reference_wrapper<std::atomic<int> > >&)
  0.00      0.02     0.00       16     0.00     0.00  std::_Tuple_impl<3ul, std::reference_wrapper<std::atomic<int> > >::_Tuple_impl<std::reference_wrapper<std::atomic<int> > >(std::reference_wrapper<std::atomic<int> >&&)
  0.00      0.02     0.00       16     0.00     0.00  void std::allocator_traits<std::allocator<std::thread> >::construct<std::thread, void (&)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&), std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::atomic<int> > >(std::allocator<std::thread>&, std::thread*, void (&)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&), std::reference_wrapper<std::filesystem::__cxx11::path const>&&, std::reference_wrapper<std::filesystem::__cxx11::path const>&&, std::reference_wrapper<std::atomic<int> >&&)
  0.00      0.02     0.00       16     0.00     0.00  std::reference_wrapper<std::atomic<int> >::_S_fun(std::atomic<int>&)
  0.00      0.02     0.00       16     0.00     0.00  std::reference_wrapper<std::atomic<int> >::reference_wrapper<std::atomic<int>&, void, std::atomic<int>*>(std::atomic<int>&)
  0.00      0.02     0.00       16     0.00     0.00  std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&), std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::atomic<int> > > > >::_State_impl<void (&)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&), std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::atomic<int> > >(void (&)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&), std::reference_wrapper<std::filesystem::__cxx11::path const>&&, std::reference_wrapper<std::filesystem::__cxx11::path const>&&, std::reference_wrapper<std::atomic<int> >&&)
  0.00      0.02     0.00       16     0.00     0.00  std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&), std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::atomic<int> > > > >::~_State_impl()
  0.00      0.02     0.00       16     0.00     0.00  std::thread::_State::_State()
  0.00      0.02     0.00       16     0.00     0.00  std::thread::_Invoker<std::tuple<void (*)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&), std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::atomic<int> > > >::_Invoker<void (&)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&), std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::atomic<int> > >(void (&)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&), std::reference_wrapper<std::filesystem::__cxx11::path const>&&, std::reference_wrapper<std::filesystem::__cxx11::path const>&&, std::reference_wrapper<std::atomic<int> >&&)
